title,show_id,type,director,cast,country,release_year,rating,duration,listed_in,description,platform
Justin Time GO!,s5839,TV Show,Sin Dato,"Drew Davis, Scott McCord, Jenna Warren",,2016,TV-Y,1,Kids' TV,"A young boy's imagination takes him throughout the world and history, where he learns life lessons and has tons of fun with two make-believe friends.",netflix
Hibana: Spark,s5844,TV Show,Sin Dato,"Kento Hayashi, Kazuki Namioka, Mugi Kadowaki, Masao Yoshii, Hideaki Murata, Nahana, Sayaka Yamamoto, Shota Sometani, Tomorowo Taguchi, Kaoru Kobayashi",Japan,2016,TV-MA,1,"International TV Shows, TV Dramas",A dramatic series about friendship and conflict between two comedians who search for meaning in life and comedy. Based on the prize-winning book.,netflix
72 Cutest Animals,s5845,TV Show,Sin Dato,,Australia,2016,TV-PG,1,"Docuseries, International TV Shows, Science & Nature TV",This series examines the nature of cuteness and how adorability helps some animal species to survive and thrive in a variety of environments.,netflix
72 Dangerous Places to Live,s5846,TV Show,Sin Dato,Mitch Ryan,Australia,2016,TV-PG,1,"Docuseries, International TV Shows, Science & Nature TV","Get up close and personal with avalanches, fiery volcanoes and other natural cataclysms, and learn why some choose to live in their destructive paths.",netflix
Cyborg 009 VS Devilman,s5854,TV Show,Sin Dato,"Jun Fukuyama, Shintaro Asanuma, Haruka Shiraishi, Tomoaki Maeno, M・A・O, Hiroki Touchi, Takeshi Koyama, Yu Mizushima, Hozumi Goda, Ayumu Okamura, Saori Hayami, Satoshi Hino, Johnny Yong Bosch, Bryce Papenbrook, Christine Marie Cabanos, Spike Spencer, Stephanie Sheh, Michael Sinterniklaas, Keith Silverstein, Joey Lotsko, Tony Azzolino, Steve Staley, Cristina Vee, Christopher Corey Smith","Japan, United States",2015,TV-MA,1,"Anime Series, International TV Shows","When a Black Ghost scientist releases newly modified cyborgs and mysterious demons appear in Tokyo, the worlds of ""Devilman"" and ""Cyborg 009"" meet.",netflix
Justin Time,s5856,TV Show,Sin Dato,"Gage Munroe, Scott McCord, Jenna Warren",Canada,2012,TV-Y,2,Kids' TV,"In Justin's dreams, he and his imaginary friends Olive and Squidgy travel around the world learning about nature and other cultures.",netflix
Terrace House: Boys & Girls in the City,s5857,TV Show,Sin Dato,"You, Reina Triendl, Ryota Yamasato, Yoshimi Tokui, Azusa Babazono, Ayumu Mochizuki, Kentaro",Japan,2016,TV-14,2,"International TV Shows, Reality TV","A new set of six men and women start their lives together under one roof. All they get is a fabulous home and a car. As always, there is no script.",netflix
Netflix Presents: The Characters,s5863,TV Show,Sin Dato,"Lauren Lapkus, John Early, Henry Zebrowski, Kate Berlant, Natasha Rothwell, Paul W. Downs, Tim Robinson, Dr. Brown",United States,2016,TV-MA,1,TV Comedies,We asked eight up-and-coming comedians for their wildest sketch and improv routines – and got a new comedy series unlike anything else.,netflix
Your lie in April,s5864,TV Show,Sin Dato,"Natsuki Hanae, Risa Taneda, Ayane Sakura, Ryota Osaka, Saori Hayami, Yuki Kaji",Japan,2014,TV-14,1,"Anime Series, International TV Shows, Romantic TV Shows","After his mother's death, a piano prodigy's will to play disappears. But meeting a free-spirited girl who plays the violin turns his life around.",netflix
Cooked,s5867,TV Show,Sin Dato,Michael Pollan,United States,2016,TV-14,1,Docuseries,"As he tries his hand at baking, brewing and braising, acclaimed food writer Michael Pollan explores how cooking transforms food and shapes our world.",netflix
Care Bears & Cousins,s5868,TV Show,Sin Dato,"Michael Sinterniklaas, Michaela Dean, Doug Erholtz, Braeden Fox, Olivia Hack, David Lodge, Nayo Wallace, Ryan Wiesbrock",United States,2016,TV-Y,2,Kids' TV,"The whole huggable gang is back, bringing tales of caring and sharing to a new generation. And now the Care Bear Cousins are here to join the fun!",netflix
Turbo FAST,s5870,TV Show,Sin Dato,"Reid Scott, John Eric Bentley, Amir Talai, Phil LaMarr, Grey DeLisle, Michael Patrick Bell, Eric Bauza",United States,2016,TV-Y7,3,Kids' TV,"Join Turbo and his posse, the Fast Action Stunt Team. Filled with comedy, action and fun, this series amps it up to the extreme.",netflix
Masha's Tales,s5871,TV Show,Sin Dato,,,2012,TV-Y,1,Kids' TV,"Fairy tales get a funny twist when Masha retells them, because she tends to get the details just a little jumbled up in this animated kids' series.",netflix
Chelsea Does,s5872,TV Show,Sin Dato,Chelsea Handler,United States,2016,TV-MA,1,"Docuseries, Science & Nature TV","In a provocative documentary series, comedian Chelsea Handler confronts personal and cultural hang-ups around four topics that fascinate her.",netflix
Sammy & Co,s5878,TV Show,Sin Dato,,France,2014,TV-Y,1,"Kids' TV, TV Comedies","In an underwater village bordering a tropical island, two young turtles and their pals keep their home safe and enjoy adventures in the big, wild sea.",netflix
Atelier,s5883,TV Show,Sin Dato,"Mirei Kiritani, Mao Daichi, Wakana Sakai, Masako Chiba, Maiko, Ken Kaito, Dori Sakurada, Nicole Ishida, Mayuko Kawakita",Japan,2015,TV-PG,1,"International TV Shows, TV Dramas","A young ""fabric geek"" lands a job at an upscale Japanese lingerie company – and quickly discovers she'll need help to survive.",netflix
W/ Bob & David,s5886,TV Show,Sin Dato,"David Cross, Bob Odenkirk, John Ennis, Jay Johnston, Brian Posehn, Jill Talley, Paul F. Tompkins, Tom Kenny, Brett Paesel",United States,2015,TV-MA,1,TV Comedies,"After being dishonorably discharged from the Navy Seals, Bob and David are back serving our country the way they do best – making sketch comedy.",netflix
Hemlock Grove,s5889,TV Show,Eli Roth,"Famke Janssen, Landon Liboiron, Dougray Scott, Bill Skarsgård, Joel de la Fuente, Kaniehtiio Horn, Madeleine Martin, Michael Andreae, Penelope Mitchell, Freya Tingley, Laurie Fortier, Nicole Boivin, Ted Dykstra, Lili Taylor, Aaron Douglas, Kandyse McClure, Marty Adams, Demore Barnes, Madeline Brewer",United States,2015,TV-MA,3,"TV Horror, TV Mysteries, TV Thrillers","Secrets are just a part of daily life in the small Pennsylvania town of Hemlock Grove, where the darkest evils hide in plain sight.",netflix
Wakfu: The Quest for the Six Eliatrope Dofus,s5896,TV Show,Sin Dato,"Fanny Bloc, Jules De Jongh, Patrick Béthune, Hugo Chandor, Adeline Chetail, Jessica Bell, Thomas Guitard, Ross Grant, Geneviève Doang",,2014,TV-PG,1,Kids' TV,"Six years after Yugo and his team defeat Qilby, Ogrest's crying floods Amalia's kingdom. To stop him, they must find the six missing Eliatrope Dofus.",netflix
Wet Hot American Summer,s5901,TV Show,Sin Dato,"Elizabeth Banks, Lake Bell, H. Jon Benjamin, Michael Ian Black, Michael Cera, Josh Charles, Bradley Cooper, Judah Friedlander, Janeane Garofalo, Jon Hamm, Nina Hellman, Joe Lo Truglio, Ken Marino, Christopher Meloni, A.D. Miles, Marguerite Moreau, Zak Orth, Jordan Peele, David Hyde Pierce, Chris Pine, Amy Poehler, Paul Rudd, Marisa Ryan, Jason Schwartzman, Molly Shannon, Michael Showalter, John Slattery, Kevin Sussman, David Wain, Kristen Wiig",United States,2015,TV-MA,1,TV Comedies,"It's the first day of camp in this outrageous prequel to the hilarious 2001 cult classic movie. And at Camp Firewood, anything can happen.",netflix
H2O: Mermaid Adventures,s5903,TV Show,Sin Dato,"Sonja Ball, Holly Gauthier-Frankel, Thor Bishopric, Angela Galuppo","Germany, Australia, France, China",2015,TV-Y7,2,Kids' TV,Three high school friends who turn into mermaids whenever they touch water have undersea adventures while keeping their new life a secret.,netflix
Danger Mouse: Classic Collection,s5909,TV Show,Sin Dato,"David Jason, Terry Scott, Edward Kelsey, Brian Trueman",United Kingdom,1992,TV-Y,10,"British TV Shows, Kids' TV, TV Comedies","Follow the adventures of superspy Danger Mouse and his bumbling sidekick, Penfold, as they jet around the world foiling their enemies' evil plots.",netflix
Oscar's Oasis,s5915,TV Show,Sin Dato,,France,2011,TV-Y,1,Kids' TV,"Plucky lizard Oscar spends his time trying to avoid the hazards of the desert, including marauding chickens and bumbling adversaries.",netflix
Lilyhammer,s5923,TV Show,Sin Dato,"Steven Van Zandt, Trond Fausa, Steinar Sagen, Robert Skjærstad, Tommy Karlsen, Fridtjov Såheim, Marian Saastad Ottesen","Norway, United States",2014,TV-MA,3,"Crime TV Shows, TV Comedies, TV Dramas","After testifying against the Mafia, ex-gangster Frank Tagliano enters witness protection and asks to be sent to Norway.",netflix
Goosebumps,s5924,TV Show,Sin Dato,R.L. Stine,Canada,1998,TV-G,5,"Kids' TV, TV Thrillers",R.L. Stine's tales take on a life of their own in a series that combines original stories with adaptations drawn from the popular books.,netflix
The Borgias,s5934,TV Show,Sin Dato,"Jeremy Irons, François Arnaud, Holliday Grainger, Peter Sullivan, Sean Harris, Joanne Whalley, Lotte Verbeek, Colm Feore, Vernon Dobtcheff, David Oakes","United States, Hungary, Ireland, Canada",2013,TV-MA,3,TV Dramas,"Follow the lives of the notorious Borgia family, a clan headed by plotting patriarch Rodrigo and his beautiful but treacherous daughter, Lucrezia.",netflix
The 4400,s5940,TV Show,Sin Dato,"Joel Gretsch, Jacqueline McKenzie, Patrick John Flueger, Conchita Campbell, Chad Faust, Richard Kahan, Mahershala Ali, Billy Campbell","United States, United Kingdom",2007,TV-14,4,"TV Dramas, TV Mysteries, TV Sci-Fi & Fantasy","4400 people who vanished over the course of five decades suddenly reappear. None have aged, and slowly it's revealed that they have mysterious powers.",netflix
Breaking Bad,s5941,TV Show,Sin Dato,"Bryan Cranston, Aaron Paul, Anna Gunn, Dean Norris, Betsy Brandt, R.J. Mitte, Bob Odenkirk, Steven Michael Quezada, Jonathan Banks, Giancarlo Esposito",United States,2013,TV-MA,5,"Crime TV Shows, TV Dramas, TV Thrillers",A high school chemistry teacher dying of cancer teams with a former student to secure his family's future by manufacturing and selling crystal meth.,netflix
Feb-09,s5965,TV Show,Sin Dato,"Shahd El Yaseen, Shaila Sabt, Hala, Hanadi Al-Kandari, Salma Salem, Ibrahim Al-Harbi, Mahmoud Boushahri, Yousef Al Balushi, Ghorour, Abdullah Al-bloshi",,2018,TV-14,1,"International TV Shows, TV Dramas","As a psychology professor faces Alzheimer's, his daughter and her three close female friends experience romance, marriage, heartbreak and tragedy.",netflix
แผนร้ายนายเจ้าเล่ห์,s5975,TV Show,Sin Dato,"Chutavuth Pattarakampol, Sheranut Yusananda, Nichaphat Chatchaipholrat, Thassapak Hsu",,2016,TV-14,1,"International TV Shows, Romantic TV Shows, TV Comedies","When two brothers fall for two sisters, they quickly realize the age differences between them are too big to ignore.",netflix
Şubat,s5979,TV Show,Sin Dato,"Alican Yücesoy, Melisa Sözen, Musa Uzunlar, Serkan Ercan, Özkan Uğur, Ülkü Duru, Tansu Biçer, Nadir Sarıbacak, Sermet Yeşil, Ayhan Kavas",Turkey,2013,TV-MA,1,"Crime TV Shows, International TV Shows, TV Dramas","An orphan subjected to tests that gave him superpowers is rescued and raised on Istanbul's streets, where he falls for a reporter linked to his past.",netflix
100% Hotter,s5985,TV Show,Sin Dato,"Daniel Palmer, Melissa Sophia, Karen Williams, Grace Woodward",United Kingdom,2017,TV-14,1,"British TV Shows, International TV Shows, Reality TV","A stylist, a hair designer and a makeup artist team up to give Britain's biggest fashion disasters some much-needed makeunders.",netflix
12 Years Promise,s5987,TV Show,Sin Dato,"So-yeon Lee, Namkoong Min, Tae-im Lee, So-hui Yoon, Won-keun Lee, Hyo-young Ryu",South Korea,2014,TV-14,1,"International TV Shows, Korean TV Shows, Romantic TV Shows","A pregnant teen is forced by her family to leave her boyfriend and assume a new identity in America, but 12 years later, the couple reunites in Korea.",netflix
21 Sarfarosh: Saragarhi 1897,s6002,TV Show,Sin Dato,"Luke Kenny, Mohit Raina, Mukul Dev",India,2018,TV-14,1,"International TV Shows, TV Dramas","In one of history's greatest last stands, a battalion of 21 Sikh soldiers fights to defend their outpost from attack by over 10,000 Afghans.",netflix
7 (Seven),s6025,TV Show,Nizar Shafi,"Rahman, Havish, Regina Cassandra, Nandita Swetha, Anisha Ambrose, Tridha Choudhury, Pujitha Ponnada, Aditi Arya",India,2019,TV-14,1,TV Shows,"Multiple women report their husbands as missing but when it appears they are looking for the same man, a police officer traces their cryptic connection.",netflix
9 Months That Made You,s6027,TV Show,Sin Dato,Demetri Goritsas,United States,2016,TV-PG,1,"British TV Shows, Docuseries, Science & Nature TV","Witness the wonders of human gestation through cutting-edge CGI, and learn how those nine months inside the womb can affect all aspects of one's life.",netflix
A Good Wife,s6038,TV Show,Sin Dato,"Tien Hsin, Christopher Lee, Darren Chiu, Shara Lin, Blaire Chang, Xi Man-Ning, Chu De-Kang",Taiwan,2013,TV-14,1,"International TV Shows, Romantic TV Shows, TV Dramas","As her seemingly idyllic life begins to crumble, a lonely woman in a restrictive marriage starts an affair with a gentle bookstore owner.",netflix
A Man Called God,s6045,TV Show,Sin Dato,"Song Il-gook, Han Chae-young, Kim Min-jong, Go Eun Han, Jung Hoon Lee, Nam Da-Reum, Yoo In-young",South Korea,2010,TV-14,1,"Crime TV Shows, International TV Shows, Korean TV Shows","Raised in America, government agent Choi Kang-Ta returns to Korea with the skills of an assassin and a thirst for revenge on his father’s killers.",netflix
A Young Doctor's Notebook and Other Stories,s6067,TV Show,Sin Dato,"Daniel Radcliffe, Jon Hamm, Adam Godley, Christopher Godwin, Rosie Cavaliero, Vicki Pepperdine, Margaret Clunie, Tim Steed, Shaun Pye",United Kingdom,2013,TV-MA,2,"British TV Shows, TV Comedies, TV Dramas","Set during the Russian Revolution, this comic miniseries is based on a doctor's memories of his early career working in an out-of-the-way village.",netflix
A.D. Kingdom and Empire,s6068,TV Show,Sin Dato,"Juan Pablo Di Pace, Adam Levy, Chipo Chung, Babou Ceesay, Emmett Scanlan, Will Thorp, Richard Coyle, Vincent Regan, Greta Scacchi, James Callis, Joanne Whalley, Jodhi May, Chris Brazier, Fraser Ayres, Jóhannes Haukur Jóhannesson, Ken Bones, Kenneth Collard",United States,2015,TV-14,1,TV Dramas,"In the wake of Jesus Christ's crucifixion, his apostles dedicate themselves to spreading his message, risking their freedom and their lives.",netflix
Abnormal Summit,s6080,TV Show,"Jung-ah Im, Seung-uk Jo","Hyun-moo Jun, Si-kyung Sung, Se-yoon Yoo",South Korea,2017,TV-PG,2,"International TV Shows, Korean TV Shows, Stand-Up Comedy & Talk Shows","Led by a trio of Korean celebs, a multinational panel of men engage in – usually – lighthearted debates on issues that surround Korea and beyond.",netflix
Adam Ruins Everything,s6090,TV Show,Sin Dato,"Adam Conover, Adam Lustick, Emily Axford",United States,2018,TV-14,1,TV Comedies,"Education can be fun – and funny. Comedian Adam Conover bursts misconceptions, deconstructs topics and leaves with positive takeaways.",netflix
Africa,s6095,TV Show,Sin Dato,David Attenborough,United Kingdom,2013,TV-PG,1,"British TV Shows, Docuseries, International TV Shows","This five-part nature series chronicles fascinating stories of survival on the African continent, home to the most diverse animal life on the planet.",netflix
Age Gap Love,s6101,TV Show,Sin Dato,Fay Ripley,United Kingdom,2017,TV-MA,1,"British TV Shows, Reality TV, Romantic TV Shows","Despite the social backlash and challenges that come with intergenerational romance, these couples choose to stick together through thick and thin.",netflix
Age of Glory,s6102,TV Show,Sin Dato,"Debbie Goh, Aenie Wong, Frederick Lee, Leslie Chai",,2010,TV-MA,2,"International TV Shows, Romantic TV Shows, TV Dramas","Amid the thriving nightlife of 1960s Kuala Lumpur, three Chinese friends – a showgirl, her housekeeper and a chanteuse – find love and heartbreak.",netflix
Agent Raghav,s6103,TV Show,Sin Dato,"Sharad Kelkar, Aahana Kumra, Mahesh Manjrekar, Deepali Pansare, Danish Pandor, Jason Tham, Reena Aggarwal, Swati Rajput",India,2015,TV-14,1,"Crime TV Shows, International TV Shows, TV Action & Adventure","A mix of brilliance, erudition and skill enables a modern Sherlock Holmes to solve impossible cases, all while he tries to heal personal wounds.",netflix
Ainsley Eats the Streets,s6106,TV Show,Sin Dato,Ainsley Harriott,United Kingdom,2014,TV-PG,1,"British TV Shows, Docuseries, International TV Shows",Celebrity chef Ainsley Harriott embarks on a journey around the world to explore the relationship between local street foods and cultural identity.,netflix
Alphablocks,s6127,TV Show,Sin Dato,"Teresa Gallagher, David Holt, Lizzie Waterworth",United Kingdom,2014,TV-Y,5,Kids' TV,"The letters of the alphabet come to life in Alphaland as they read, write and spell their way into an exciting world of phonic fun.",netflix
America's Book of Secrets,s6133,TV Show,Sin Dato,Jonathan Adams,United States,2014,TV-14,1,Docuseries,"This engaging documentary series shares the surprising backstories of familiar institutions like the Pentagon, West Point and the Playboy Mansion.",netflix
American Crime,s6138,TV Show,Sin Dato,"Felicity Huffman, Timothy Hutton, Elvis Nolasco, Regina King, Lili Taylor, Richard Cabral, Brent Anderson, Benito Martinez, Shane Jacobsen, W. Earl Brown, Caitlin Gerard, Penelope Ann Miller, Johnny Ortiz",United States,2017,TV-MA,3,"Crime TV Shows, TV Dramas","This anthology series unfolds a different story arc for each season, with dramas focusing on aspects of American life and the criminal justice system.",netflix
American Experience: The Circus,s6140,TV Show,Sharon Grimberg,,United States,2018,TV-PG,1,Docuseries,"An exploration of the American circus, as the spectacle evolved from a one-ring show to a cultural event and eventually, a dying breed.",netflix
American Odyssey,s6147,TV Show,Sin Dato,"Anna Friel, Peter Facinelli, Jake Robinson, Jim True-Frost, Treat Williams, Sadie Sink, Omar Ghazaoui, Nate Mooney, Elena Kampouris, Daniella Pineda, Adewale Akinnuoye-Agbaje",United States,2015,TV-14,1,"TV Dramas, TV Thrillers","An elite soldier, a corporate lawyer and a political activist uncover a deadly conspiracy linking terrorists to a powerful American corporation.",netflix
An Innocent Mistake,s6157,TV Show,Sin Dato,"Jason Wang, Mathilde Lin, Mo Tzu Yi, Xi Man-Ning, Lin Mei-hsiu, Kelly Huang, Joy Pan",Taiwan,2012,TV-14,1,"International TV Shows, Romantic TV Shows, TV Dramas","Raised by three mothers, a self-assured teen in turmoil meets the father figure she never had. But she also stands to drive the man and his son apart.",netflix
Ancient Aliens,s6162,TV Show,Sin Dato,Robert Clotworthy,United States,2018,TV-14,1,"Docuseries, Science & Nature TV","Were ancient humans really behind some of the most important technological advances in civilized history, or did they have extraterrestrial help?",netflix
Anjaan: Rural Myths,s6167,TV Show,Sin Dato,,India,2018,TV-14,1,"International TV Shows, TV Horror, TV Thrillers","Spine-chilling stories of malevolent spirits unfold in villages, jungles and haunted buildings across India.",netflix
Anjaan: Special Crimes Unit,s6168,TV Show,Sin Dato,"Gashmeer Mahajani, Heena Parmar",India,2018,TV-14,1,"International TV Shows, TV Horror, TV Mysteries","The cases are supernatural; the police officers human. Together, cops Aditi and Vikrant must solve mysteries from the realm of the paranormal.",netflix
Anthony Bourdain: Parts Unknown,s6175,TV Show,Sin Dato,Anthony Bourdain,United States,2018,TV-PG,5,Docuseries,This CNN original series has chef Anthony Bourdain traveling to extraordinary locations around the globe to sample a variety of local cuisines.,netflix
忍者ハットリくん,s6178,TV Show,Sin Dato,,Japan,2012,TV-Y7,2,"Anime Series, Kids' TV","Hailing from the mountains of Iga, Kanzo Hattori moves in with elementary school student Kenichi Mitsuba and his family to hone his skills as a ninja.",netflix
Atomic Puppet,s6195,TV Show,Sin Dato,"Eric Bauza, Lisa Norton, Carlos Díaz, Peter Oldring, Heather Bambrick, Rick Miller, Rob Tinkler, Kristina Nicoll","Canada, France",2016,TV-Y7,1,"Crime TV Shows, Kids' TV, TV Comedies","Captain Atomic – once a superhero, now a sock puppet – can only activate his powers with the help of Joey, his new partner and biggest fan.",netflix
Aussie Gold Hunters,s6199,TV Show,Sin Dato,,Australia,2016,TV-MA,1,"Docuseries, International TV Shows, Reality TV",Three teams of gold hunters battle all manner of challenges while pursuing their dreams in the Australian Outback.,netflix
Bad Education,s6214,TV Show,Sin Dato,"Jack Whitehall, Mathew Horne, Sarah Solemani, Michelle Gomez, Nikki Runeckles, Kae Alexander, Layton Williams, Ethan Lawrence, Charlie Wernham, Jack Binstead, Jack Bence, Harry Enfield",United Kingdom,2014,TV-MA,3,"British TV Shows, TV Comedies","A history teacher at the posh Abbey Grove, Alfie Wickers is something truly special: He's his school's, if not England's, single worst educator.",netflix
Badalte Rishton Ki Dastaan,s6217,TV Show,Sin Dato,"Additi Gupta, Sanjeeda Sheikh, Kiran Karmarkar, Abhinav Shukla, Tanushree Kaushal, Mona Ambegaonkar",India,2013,TV-14,1,"International TV Shows, TV Dramas","When a man is killed, his wife and his lover – both of whom are pregnant with his children – come under the thumb of his brutal, dictatorial father.",netflix
Bala Loca,s6220,TV Show,Sin Dato,"Alejandro Goic, Trinidad González, Ingrid Isensee, Mario Horton, Manuela Oyarzún, Fernanda Urrejola, Catalina Saavedra, Pablo Schwarz, Aline Küppenheim, Marcial Tagle, Víctor Quezada, Alfredo Castro, Roberto Farías, Hugo Medina, Daniel Candia, María Paz Grandjean, Alejandro Sieveking, Nicolás Durán, Sergio Hernández, Willy Semler, Erto Pantoja",Chile,2016,TV-MA,1,"International TV Shows, Spanish-Language TV Shows, TV Dramas",A veteran journalist starting a news site about corruption in Chile stumbles on a big story when a fellow investigative reporter dies suspiciously.,netflix
Bangkok Bachelors,s6229,TV Show,Sin Dato,"Sean Jindachot, Nutt Devahastin Na Ayudhya, Patharamanop Isariy, Manatsanun Phanlerdwongsakul, Anchasa Mongkhonsama, Keerati Mahapreukpong",,2016,TV-MA,1,"International TV Shows, Romantic TV Shows, TV Comedies",Three young men leading carefree bachelors’ lives in the city face the trials of true love when they meet three beautiful women.,netflix
Bat Pat,s6250,TV Show,Sin Dato,"Rosa Romay, Alberto Escobal, Jaime de Diego, Josu Cubero",Italy,2016,TV-Y,1,Kids' TV,"A curious and talkative bat finds spooky fun on the streets of Fogville, a town that's not as quiet as it seems, with a plucky girl and her brothers.",netflix
Bates Motel,s6251,TV Show,Sin Dato,"Vera Farmiga, Freddie Highmore, Max Thieriot, Olivia Cooke, Nicola Peltz, Nestor Carbonell, Mike Vogel, Keegan Connor Tracy",United States,2017,TV-MA,5,"Crime TV Shows, TV Dramas, TV Horror","When his father dies, Norman Bates and his mother open a hotel. But Norman's precarious mental state drives them down a dark and violent path.",netflix
Battle Creek,s6253,TV Show,Sin Dato,"Josh Duhamel, Dean Winters, Aubrey Dollar, Edward Fordham Jr., Kal Penn, Janet McTeer, Liza Lapira, Damon Herriman, Meredith Eaton",United States,2015,TV-14,1,"Crime TV Shows, TV Comedies, TV Dramas","A polished FBI agent must team up with a cynical cop when he's dispatched to Battle Creek, Michigan, to set up an office at the local precinct.",netflix
Battlefield Recovery,s6254,TV Show,Sin Dato,,United Kingdom,2016,TV-PG,1,"British TV Shows, Docuseries, Reality TV",A four-man team heads to Latvia and Poland to unearth rare World War II artifacts and shed new light on the bloody battles of the Eastern Front.,netflix
Be-Be-Bears,s6259,TV Show,Sin Dato,"Nataliya Medvedeva, Polina Kutepova",Russia,2018,TV-Y,1,Kids' TV,"Bear buddies Bucky and Bjorn play games, go on far-out adventures and learn about wondrous new things together.",netflix
Beast Legends,s6263,TV Show,Sin Dato,"Steve Leonard, Francis Manapul, Kathryn Denning, Scott Edwards, Mike Paixao",Canada,2010,TV-PG,1,Docuseries,A diverse crew of experts dive deep into the origin stories of mythological monsters before building replicas of the creatures using 3D CGI technology.,netflix
Beating Again,s6264,TV Show,Sin Dato,"Kyung-ho Jung, So-yeon Kim, Hyun-min Yoon, Goo Jin, Hyun-joo Gong, Si-eon Lee, Yeong-gyu Park, Seok-Hwan An, Myung-Ryul Nam, Eun-ji Jo",South Korea,2015,TV-14,1,"International TV Shows, Korean TV Shows, Romantic TV Shows","After enduring both business and family upheavals, a ruthless investment director has a heart transplant and finds a new way to look at life and love.",netflix
Beauty & the Beast,s6265,TV Show,Sin Dato,"Kristin Kreuk, Jay Ryan, Max Brown, Austin Basis, Nina Lisandrello, Brian White, Sendhil Ramamurthy",Canada,2016,TV-14,4,"Crime TV Shows, Romantic TV Shows, TV Dramas",A homicide detective and a veteran who has been turned into a beast by a military experiment gone awry become allies after they meet by chance.,netflix
Beauty and the Bitches,s6266,TV Show,Sin Dato,"Methinee Kingpayome, Son Songpaisarn, Yingying Sarucha, Pim Pimjira Jaroenlak, Jespipat Tilapornputt, Groupz Chutharut Anusin, Aon Korakot Tunkaew, Raviyanun Takerd, Nat Thephussadin Na Ayutthaya, Bam Pakakanya Charoenyos, Eye Warapairin Laphatsanitirot, Pemy Peramin Thabkaew, Darin Hansen, Hongyok Pornphan Rerkatakarn, Rattanapond Klinkulabhiran, Oliver Pupart, Organ Wacharapolmek, Patiparn Pataweekarn, Yuthana Puengklarng, Ak Akarat, Point Cholawit Meetongcom, Copter Phumin, Koii Korakod, Mila Thanapa, Mild Anis Suwit",,2016,TV-MA,2,"International TV Shows, Romantic TV Shows, TV Comedies",Beauty pageant contestants from all over Thailand fight for the crown as they contend with drama and intrigue behind the scenes.,netflix
Behind the Newsroom,s6276,TV Show,Sin Dato,"Pok Piyatida Woramusik, Willie Ruengrit McIntosh, Charebelle Lanlalin, Tono Pakin Kumwilaisuk, Point Cholawit Meetongcom, Cee Hathaiphat, Pitta Na Pattalung, Ae Sasikarn Aphichartworasilp, Louis Pongphan Petchbuntoon, Sawitree Samipak",,2015,TV-MA,1,"International TV Shows, Romantic TV Shows, TV Dramas","Confident and cool under pressure, top news presenter Punchalee meets her match in the conniving Dao, who'll stop at nothing to fulfill her ambitions.",netflix
Behzat Ç.,s6277,TV Show,Sin Dato,"Erdal Beşikçioğlu, Fatih Artman, İnanç Konukçu, Seda Bakan, Berkan Şal, Ayça Eren, Berke Üzrek, Canan Ergüder, Ege Aydan, Eray Eserol, Hakan Hatipoğlu",Turkey,2010,TV-MA,1,"Crime TV Shows, International TV Shows, TV Dramas",An Ankara homicide detective with a dark personal life and a disdain for rules and political correctness solves murders and fights police corruption.,netflix
Being Mary Jane: The Series,s6280,TV Show,Sin Dato,"Gabrielle Union, Lisa Vidal, Margaret Avery, Omari Hardwick, Latarsha Rose, Aaron D. Spears, B.J. Britt, Raven Goodwin, Richard Roundtree",United States,2016,TV-14,4,"Romantic TV Shows, TV Dramas",Ambitious single TV journalist Mary Jane attempts to balance her career with her overbearing family and an increasingly messy love life.,netflix
Ben 10,s6282,TV Show,Sin Dato,"Tara Strong, Montse Hernandez, David Kaye, Roger Craig Smith, Todd Haberkorn, Dwight Schultz, Daryl Sabara",United States,2016,TV-Y7,1,Kids' TV,Ben can transform into ten types of aliens. He'll try 'em all while adventuring across the country with his cousin Gwen and Grandpa Max.,netflix
Beyblade: Metal Fusion,s6292,TV Show,Sin Dato,"Aki Kanada, Satoshi Hino, Emiri Kato, Kei Shindo, Robert Tinkler, Peter Cugno, Lisette St. Louis, Barbara Mamabolo",Japan,2009,TV-Y7,1,"Anime Series, Kids' TV","In this anime adventure series for kids, the forces of good and evil ""blade it out,"" battling each other with enchanted spinning tops.",netflix
Bh Se Bhade,s6295,TV Show,Sin Dato,"Deven Bhojani, Suchita Trivedi, Sarita Joshi, Varun Khandelwal, Bhavna Khatri, Dushyant Wagh, Gulfam Khan, Atul Parchure",India,2013,TV-PG,1,"International TV Shows, TV Comedies","A kind-hearted insurance agent has the mysterious power to temporarily shoulder the problems and pain of others, with comic results in his own life.",netflix
Bhaage Re Mann,s6296,TV Show,Sin Dato,"Karuna Pandey, Chandan Anand, Kanika Shivpuri, Ved Thappar, Nupur Alankar, Tarun Mehta, Priya Marathe, Vasundhara Kaul, Ankit Narang, Arshima Thapar",India,2015,TV-14,1,"International TV Shows, Romantic TV Shows, TV Dramas","An impulsive, free-spirited woman who's defied convention for much of her life suddenly finds herself flirting with a classic romance.",netflix
Big Bad Beetleborgs,s6302,TV Show,Sin Dato,"Wesley Barker, Herbie Baez, Elisabeth Lund, Shannon Chandler, Billy Forester, Frank Addela, Kyle Jordan, Dave 'Foots' Footman, Derek Stephen Prince, Vivian Smallwood","United States, France, Japan",1997,TV-G,2,"Kids' TV, TV Comedies","When three teens free a spirit that offers to grant each a wish, they choose to become their favorite superheroes, launching a series of adventures.",netflix
